paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Mouse IgG Atto 647N (polyclonal),secondary,Sigma-Aldrich,50185,pre-expansion,1:200
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Rabbit IgG Alexa Fluor 546 (polyclonal),secondary,Invitrogen,A11010,pre-expansion,1:200
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Rabbit IgG Atto 647N (polyclonal),secondary,Sigma-Aldrich,40839,pre-expansion,1:200
Expansion Microscopy of Synaptic Contacts on the Mauthner Cells of Larval Zebrafish,Ijaz 2024,Chicken IgY Alexa Fluor 488 (polyclonal),secondary,Invitrogen,A11039,pre-expansion,1:200
Challenges of Using Expansion Microscopy for Super-resolved Imaging of Cellular Organelles,,"mouse anti-NUP153 (monoclonal, QE5)",primary,Abcam,QE5,pre-expansion,1:400
Challenges of Using Expansion Microscopy for Super-resolved Imaging of Cellular Organelles,,"rabbit anti-TOM20 (polyclonal, FL145)",primary,Santa Cruz Biotechnology,FL145,pre-expansion,1:200
Challenges of Using Expansion Microscopy for Super-resolved Imaging of Cellular Organelles,,"goat anti-rabbit IgG, Aberrior STAR Red",secondary,Aberrior,2-0012-011-9,pre-expansion,1:250
Challenges of Using Expansion Microscopy for Super-resolved Imaging of Cellular Organelles,,"goat anti-mouse IgG, Aberrior STAR Red",secondary,Aberrior,2-0002-011-2,pre-expansion,1:250
Improved Dye Survival in Expansion Microscopy through Stabilizer-Conjugated Linkers,Wen 2022,mouse anti-α-tubulin,primary,Abcam,ab7291,pre-expansion,2 μg/mL
Combined expansion microscopy with structured illumination microscopy for analyzing protein complexes,Wang 2018,goat anti-mouse Alexa Fluor 555,secondary,Thermo Fisher Scientific,A-21424,pre-expansion,1:500
Combined expansion microscopy with structured illumination microscopy for analyzing protein complexes,Wang 2018,goat anti-rabbit Alexa Fluor 488,secondary,Thermo Fisher Scientific,A-11008,pre-expansion,1:500
Combined expansion microscopy with structured illumination microscopy for analyzing protein complexes,Wang 2018,goat anti-mouse Atto 647N,secondary,Sigma-Aldrich,50185,pre-expansion,1:500
Combined expansion microscopy with structured illumination microscopy for analyzing protein complexes,Wang 2018,goat anti-rabbit Atto 647N,secondary,Sigma-Aldrich,40839,pre-expansion,1:500
Expansion Microscopy Application for Calcium Protein Clustering Imaging in Cells and Brain Tissues,Rakovskaya 2023,rabbit anti-Cherry polyclonal antibody,primary,Abcam,ab213511,pre-expansion,1:1000
Expansion Microscopy Application for Calcium Protein Clustering Imaging in Cells and Brain Tissues,Rakovskaya 2023,"goat anti-rabbit IgG, Alexa Fluor 594",secondary,Invitrogen,2270262,pre-expansion,1:1000
Expansion Microscopy Application for Calcium Protein Clustering Imaging in Cells and Brain Tissues,Rakovskaya 2023,rabbit anti-IP3R,primary,Abcam,ab5804,pre-expansion,1:300
Expansion Microscopy Application for Calcium Protein Clustering Imaging in Cells and Brain Tissues,Rakovskaya 2023,"anti-rabbit IgG, Alexa Fluor 488",secondary,Invitrogen,R37116,pre-expansion,2 drops per ml
Super-Resolution Imaging of Clickable Lipids With Lipid Expansion Microscopy (LExM),White-Mathieu 2024,mouse anti-mCherry IC51,primary,Millipore Sigma,MAB131873,post-expansion,1:100
Super-Resolution Imaging of Clickable Lipids With Lipid Expansion Microscopy (LExM),White-Mathieu 2024,mouse anti-V5 SV5-PK1,primary,BioRad,MCA1360GA,post-expansion,1:100
Super-Resolution Imaging of Clickable Lipids With Lipid Expansion Microscopy (LExM),White-Mathieu 2024,Alexa Fluor 594 donkey anti-mouse,secondary,Thermo Fisher Scientific,A21203,post-expansion,1:100
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Acetylated α-tubulin (Mouse IgG2b),primary,Sigma,T6793,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Actin (Rabbit),primary,Cell Signaling,4968,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Aquaporin 1 (Rabbit),primary,Abcam,168387,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Aquaporin 2 (Mouse IgG1),primary,Santa Cruz Biotechnology,sc-515770,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Arl13b (Rabbit),primary,Proteintech,17711-1-AP,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Centrin (Mouse IgG2a),primary,Millipore,04-1624,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Cep135 (Rabbit),primary,Abcam,ab75005,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,CLC-K (Rabbit),primary,Alomone Lab,ACL 004,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Collagen IV (Goat),primary,Southern Biotech,1340-01,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Desmin (Mouse IgG1),primary,Agilent Technologies,M0760,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,E-cadherin (Mouse IgG2a),primary,BD Bioscience,BDB610181,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Glutamylated tubulin (GT335; Mouse IgG1),primary,AdipoGen,AG20B-0020-C100,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Nephrin (Goat),primary,R&D Systems,AF3159,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Odf2 (Rabbit),primary,Sigma,HPA001874,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Podocalyxin (Goat),primary,R&D Systems,AF1554,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Podocin (Rabbit),primary,IBL International,JP29040,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Synaptopodin (Guinea Pig) - Synaptic Systems,primary,Synaptic Systems,163004,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Synaptopodin (Guinea Pig) - American Research Products,primary,American Research Products,03-GP94-N,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,α-Actinin 4 (Rabbit),primary,Thermo Fisher Scientific,42-1400,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,γ-tubulin (GTU-88; Mouse IgG1),primary,Sigma-Aldrich,T6557,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Acetylated α-tubulin (Mouse IgG2b),primary,Sigma,T6793,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Actin (Rabbit),primary,Cell Signaling,4968,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Aquaporin 1 (Rabbit),primary,Abcam,168387,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Aquaporin 2 (Mouse IgG1),primary,Santa Cruz Biotechnology,sc-515770,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Arl13b (Rabbit),primary,Proteintech,17711-1-AP,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Centrin (Mouse IgG2a),primary,Millipore,04-1624,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Cep135 (Rabbit),primary,Abcam,ab75005,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,CLC-K (Rabbit),primary,Alomone Lab,ACL 004,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Collagen IV (Goat),primary,Southern Biotech,1340-01,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Desmin (Mouse IgG1),primary,Agilent Technologies,M0760,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,E-cadherin (Mouse IgG2a),primary,BD Bioscience,BDB610181,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Glutamylated tubulin (GT335; Mouse IgG1),primary,AdipoGen,AG20B-0020-C100,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Nephrin (Goat),primary,R&D Systems,AF3159,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Odf2 (Rabbit),primary,Sigma,HPA001874,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Podocalyxin (Goat),primary,R&D Systems,AF1554,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Podocin (Rabbit),primary,IBL International,JP29040,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Synaptopodin (Guinea Pig),primary,Synaptic Systems,163004,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,Synaptopodin (Guinea Pig),primary,American Research Products,03-GP94-N,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,α-Actinin 4 (Rabbit),primary,Thermo Fisher Scientific,42-1400,post-expansion,
Ultrastructure expansion microscopy (U-ExM) of mouse and human kidneys for analysis of subcellular structures,Langner 2024,γ-tubulin (GTU-88; Mouse IgG1),primary,Sigma-Aldrich,T6557,post-expansion,
Enzymatically enhanced ultrastructure expansion microscopy unlocks expansion of in vitro Toxoplasma gondii cysts,Bondarenko 2024,Anti-GRA2 mouse,primary,Biotem,TG17-179 GRA2 #BIO.018.5 (vt210324a-4939),post-expansion,"1:1,000 (std), 1:300 (ExM)"
Enzymatically enhanced ultrastructure expansion microscopy unlocks expansion of in vitro Toxoplasma gondii cysts,Bondarenko 2024,Anti-SAG1 rabbit,primary,Abcam,ab138698 (GR3426284-1),pre-expansion,"1:1,000 (std)"
Enzymatically enhanced ultrastructure expansion microscopy unlocks expansion of in vitro Toxoplasma gondii cysts,Bondarenko 2024,AlexaFluor 488 goat anti-mouse superclonal,secondary,Thermo Scientific,A28175 (2126853),post-expansion,"1:1,000 (std), 1:300 (ExM)"
Enzymatically enhanced ultrastructure expansion microscopy unlocks expansion of in vitro Toxoplasma gondii cysts,Bondarenko 2024,AlexaFluor 568 goat anti-mouse,secondary,Thermo Scientific,A-11004 (1862187),post-expansion,"1:1,000 (std), 1:300 (ExM)"
Enzymatically enhanced ultrastructure expansion microscopy unlocks expansion of in vitro Toxoplasma gondii cysts,Bondarenko 2024,AlexaFluor 488 goat anti-rabbit,secondary,Thermo Scientific,A-21206 (1981155),post-expansion,"1:1,000 (std), 1:300 (ExM)"
Enzymatically enhanced ultrastructure expansion microscopy unlocks expansion of in vitro Toxoplasma gondii cysts,Bondarenko 2024,AlexaFluor 568 goat anti-rabbit,secondary,Thermo Scientific,A-11036 (1924788),post-expansion,"1:1,000 (std), 1:300 (ExM)"
Enzymatically enhanced ultrastructure expansion microscopy unlocks expansion of in vitro Toxoplasma gondii cysts,Bondarenko 2024,Atto 647N goat anti-rabbit,secondary,Sigma-Aldrich,40839-1ML-F (BCBV5056),post-expansion,"1:1,000 (std), 1:300 (ExM)"
Expansion Microscopy for Beginners: Visualizing Microtubules in Expanded Cultured HeLa Cells,Zhang 2020,rabbit polyclonal antibody to β-tubulin,primary,Abcam,ab6046,pre-expansion,1:100
Expansion Microscopy for Beginners: Visualizing Microtubules in Expanded Cultured HeLa Cells,Zhang 2020,"goat anti-rabbit IgG (H+L) highly cross-adsorbed secondary antibody, Alexa Fluor 546 conjugate",secondary,Thermo Fisher,A11035,pre-expansion,1:100
Expansion Microscopy for Imaging the Cell–Material Interface,Nakamoto 2022,AP2 (primary antibody),primary,Abcam,ab189995,pre-expansion,1:500
Expansion Microscopy for Imaging the Cell–Material Interface,Nakamoto 2022,goat–anti-mouse AF568 (secondary antibody),secondary,Invitrogen,A11004,pre-expansion,
Expansion microscopy allows high resolution single cell analysis of epigenetic readers,Acke 2022,LEDGF/p75 (A300-848A),primary,Bethyl,A300-848A,pre-expansion,1:2000
Expansion microscopy allows high resolution single cell analysis of epigenetic readers,Acke 2022,LEDGF (611715),primary,BD Bioscience,611715,pre-expansion,1:2000
Expansion microscopy allows high resolution single cell analysis of epigenetic readers,Acke 2022,H3K36me2 (ab176921),primary,Abcam,ab176921,pre-expansion,1:1000 or 1:2000
Expansion microscopy allows high resolution single cell analysis of epigenetic readers,Acke 2022,H3K36me3 (ab9050),primary,Abcam,ab9050,pre-expansion,1:1000 or 1:2000
Expansion microscopy facilitates quantitative super-resolution studies of cytoskeletal structures in kinetoplastid parasites,Gorilak 2021,polyclonal anti-alpha tubulin,primary,Genetex,GTX 15246,post-expansion,1:20 (ExM); 1:10 (IF)
Expansion microscopy facilitates quantitative super-resolution studies of cytoskeletal structures in kinetoplastid parasites,Gorilak 2021,anti-HA tag,primary,Cell Signaling Technology,3724S,post-expansion,1:500 (ExM); 1:500 (IF)
Expansion microscopy facilitates quantitative super-resolution studies of cytoskeletal structures in kinetoplastid parasites,Gorilak 2021,Alexa Fluor 488 anti-mouse IgG (H + L),secondary,Invitrogen,A11001,post-expansion,1:500 (ExM); 1:1000 (IF)
Expansion microscopy facilitates quantitative super-resolution studies of cytoskeletal structures in kinetoplastid parasites,Gorilak 2021,Alexa Fluor 488 anti-rabbit IgG (H + L),secondary,Invitrogen,A11008,post-expansion,1:500 (ExM); 1:1000 (IF)
Expansion microscopy facilitates quantitative super-resolution studies of cytoskeletal structures in kinetoplastid parasites,Gorilak 2021,Alexa Fluor 555 anti-mouse IgG (H + L),secondary,Invitrogen,A21422,post-expansion,1:500 (ExM); 1:1000 (IF)
Expansion microscopy facilitates quantitative super-resolution studies of cytoskeletal structures in kinetoplastid parasites,Gorilak 2021,Alexa Fluor 555 anti-rabbit IgG (H + L),secondary,Invitrogen,A21428,post-expansion,1:500 (ExM); 1:1000 (IF)
